하위 페이지 번호,자격요건,우대사항
11,"['- 로봇공학, 기계공학, 메카트로닉스, 컴퓨터공학, 인공지능 등 로보틱스 관련 분야의 석사 학위(이상)를 보유하고 연구기관(공공, 민간 및 관련기관) 경력 7년 이상이신 분- 공공기관 연구 프로젝트(정부 R&D 과제/지원사업) 책임자 경력 보유하신 분- 공공기관 연구 프로젝트(정부 R&D 과제/지원사업) 기획/운영/관리 경험보유 및 프로세스 이해도가 높으신 분']","['- 로봇공학, 컴퓨터공학, 인공지능, 전자공학, 기계공학 등 로보틱스 관련 분야의 박사 학위를 보유하신 분- 정확하고 세밀한 보고 문서 작성 능력을 보유하신 분- 관련 논문이나 기술 관련 문서를 이해하고 이를 바탕으로 구현이 가능하신 분- 관련 비즈니스 네트워크를(기업인, 학계, 전문가 등) 보유하신 분- 영어로 기술 업무(Written & Spoken) 진행이 가능하신 분- 변화 속도가 빠르고 성장 지향적인 스타트업 환경에서 정부사업 발굴, 관리한 경험이 있으신 분- 높은 수준의 책임감을 바탕으로 리더 그룹과 정기적으로 소통 및 협업하며, 유연하고 탁월한 커뮤니케이션 스킬을 보유하신 분']"
12,"['• Bachelor’s or Master’s in Computer Science/Engineering, Statistics, Applied Math, or related field.• Proven experience in machine learning, data science, or a related field.• Strong programming skills in Python, R, or similar languages.• Experience with machine learning frameworks (e.g., TensorFlow, PyTorch, Scikit-learn).• Strong knowledge of statistics and experience in data analysis.• Excellent problem-solving and analytical skills.• Ability to work independently and collaboratively in a team environment.• Strong communication skills to effectively present findings and insights.']","[""• Experience with cloud platforms (e.g., AWS, Azure, GCP) and it's ML development system (e.g., Vertex AI, ML Studio)• Publications in relevant conferences or journals.• Successful delivery product story.""]"
13,"['ㆍ학력 : 석사 학위 이상 또는 유사 분야에서의 우수 연구/개발 성과물 보유자의 경우 학사 학위도 가능. ㆍ경력 : 음성 신호 처리, 딥러닝 기반 음성 모델, 자연어 처리(NLP) 등의 분야에서 6년 이상의 실무 경험을 보유함. ㆍ딥러닝 및 기계 학습 기술에 대한 이해와 경험 ㆍ업계 표준 및 도구에 대한 지식과 경험 (예: TensorFlow, PyTorch 등) ㆍC/C++, Python 등의 프로그래밍 언어에 능숙해야 함.']",[]
14,"['• 경력 3~10년 이하• 멀티모달 관련 프로젝트/논문을 이해할 수 있고 Pytorch로 구현 및 코드 해석이 가능한 분• 멀티모달 프로젝트 서비스 배포 경험이 있거나 연구 논문 작성 경험이 있으신 분• AWS, GCP, Azure 중 하나 이상의 클라우드 환경에서 서비스 배포를 해보신 분• 자신의 아이디어를 구체화하고 실험적으로 증명할 수 있는 분• 한국어 커뮤니케이션 가능한 분(TOPIK 5급 이상)']","['• 국내 거주중인 외국인• 컴퓨터공학 및 관련 분야 석사 학위 이상• API 개발 및 Docker 활용 가능하신 분• Open 모델 배포 경험이 있으신 분• SCI급 논문 출원 경험이 있으신 분• AI관련 대회 우승 경험이 있으신 분• Hadoop, Spark 등 데이터 분산 처리 기술 경험이 있으신 분• MLOps 경험이 있으신 분• 팀 또는 파트를 리딩하신 경험이 있으신 분']"
15,"['• 관련 경력 1년 이상 (경력 기술서 필수)• 머신러닝 및 딥러닝 기술에 대한 경험• Python 패키지, PyTorch 딥러닝 프레임워크 능숙• 언어/음성지능 모델 경력 및 전문성 보유자• 영어 논문 분석 가능자']","['• 인공지능 관련 분야의 학사 학위 이상• 관련 기술 구현 및 서비스 상용화 경력자• 커뮤니케이션 및 문제해결 능력이 탁월한 자• 기술 동향 및 학습에 대한 열정• 사용자 경험 분석 및 개선 경험• 단일/다중 화자, 다국어, 화자 적응형, 감정 표현, 표현 학습 음성 합성 경험• Global style token 처리, Speaker, emotion embedding 처리 경험']"
16,"['• 경력 3~10년 이하• LLM 관련 프로젝트/논문을 이해할 수 있고 Pytorch로 구현 및 코드 해석이 가능한 분• 자연어 처리 프로젝트 서비스 배포 경험이 있거나 연구 논문 작성 경험이 있으신 분• LLM 파인튜닝 / 데이터 셋 구성 방법에 대해 이해하고 계신 분• AWS, GCP, Azure 중 하나 이상의 클라우드 환경에서 서비스 배포를 해보신 분• 자신의 아이디어를 구체화하고 실험적으로 증명할 수 있는 분• 커뮤니케이션 능력이 훌륭하신 분']","['• 컴퓨터공학 및 관련 분야 석사 학위 이상• Open NLP 모델 배포 경험이 있으신 분• OpenAI, HuggingFace, LangChain 라이브러리를 활용해 개발을 해보신 분• 양자화 및 최적화에 대한 이해도가 있으신 분• API 개발 및 Docker 활용 가능하신 분• SCI급 논문 출원 경험이 있으신 분• AI관련 대회 우승 경험이 있으신 분• Hadoop, Spark 등 데이터 분산 처리 기술 경험이 있으신 분• MLOps 경험이 있으신 분• 멀티모달 모델에 대한 지식이 있으신 분• 팀 또는 파트를 리딩하신 경험이 있으신 분']"
17,"['- 이미지나 음성 처리 관련 모델 학습, 결과 분석 등 실무 프로젝트를 한 경험이 있으신 분- ML 프레임워크(PyTorch, TensorFlow 등)를 잘 다룰 수 있으신 분']",['- AI / ML이나 유사한 분야에서 석사 이상 또는 이에 준하는 경력이 있으신 분 (연구 논문이 있을 경우 같이 제출해 주세요.)- 모델을 직접 만들었거나 공개된 모델을 fine-tuning해서 성능을 향상시킨 경험이 있으신 분- 자신이 만든 모델을 실제 상용 서비스에 적용하고 운영한 경험이 있으신 분- AWS나 Azure 등 클라우드 환경을 이용해 개발한 경험이 있으신 분- GitHub에 공개 가능한 ML 프로젝트가 있으신 분- 외국어를 잘하지 않아도 언어 자체에 관심이 있는 분']
18,"['• Deep Learning 모델을 사용하여 문제 해결하는 업무 경험 3년 이상 및 이중 Transformer 모델 사용 경험 1년 이상• 데이터 처리부터 모델 트레이닝, 검증까지 진행 가능한 사람• 아래 기술 항목 중 1가지 이상 항목의 실무 활용 경험  - GPT, LLaMa, Mistral 등 Transformer decoder 기반 모델 트레이닝  - BERT, Electra, BART 등 Transformer 기반 모델 트레이닝  - Vision Transformer, Diffusion, Self-supervised Learning, Reinforcement Learning 등 관련 모델 트레이닝• python 개발 능력 : pytorch, huggingface 등']","['• 문제 해결에 대한 학습 능력과 의지• 리눅스 등 운영체제, 파일시스템, 동기화, 네트워크에 대한 이해• 성능과 대용량에 대한 문제 해결 경험• 통계 처리 혹은 암호화 처리 경험• 네트워크 프로그래밍 경험']"
19,"['[이런 경험을 가진 분을 찾습니다]• C/C++, Python 숙련자• Tensorflow, Pytorch 숙련자   • Machine Learning 관련 지식 보유• Computer vision 관련 연구/개발 경험• 빠르게 변화하는 스타트업에서의 근무 경험이 있으며 도전과 성취를 즐기시는 분• 프로젝트를 성공적으로 완료하기 위해 강한 책임감을 가지고 기꺼이 시간을 투자할 수 있는 분']","['[이런 분이면 더 좋아요]• 3D Data를 다루는 프로젝트 혹은 연구 경험이 있으신 분• Computer Vision, Machine Learning 관련 최신 논문 모니터링 및 활용에 관심 많은 분• 로봇에 대한 전반적인 배경지식이 있으신 분• ROS(Robot operating system) 활용 경험 있으신 분• CUDA 언어 및 Tensor RT 활용 경험 있으신 분• Deep Learning Network 최적화 및 성능 개선 경험이 있으신 분• GAN, Photorealistic synthetic data 관련 연구 경험이 있으신 분• 상용화 소프트웨어 개발 경험이 있으신 분• 해당 분야 석사/박사 학위 혹은 3년 이상의 경력을 갖춘 분']"
20,"['• 진취적이고 도전적이며 창의적이신 분• 컴퓨터 비전 및 딥러닝에 대한 지식이 있으신 분• 머신러닝에 기반한 프로젝트 참여 경험이 있으신 분• 컴퓨터 공학, 통계 및 확률에 대한 지식을 갖추고 있으신 분• PyTorch 또는 Tensorflow와 같은 딥러닝 프레임워크에 익숙하신 분• (신입) 관련 분야 석사이상 학위 소지자 또는 해당 업무 1년 이상 경력자• 자기가 맡은 일만 뿐만 아니라 동료들과 함께 책임감 있게 업무를 수행할 수 있으신 분']",['• 실무 경력 5년 이상이신 분• 딥러닝 모델 fine tuning 경험이 있으신 분• 팀원들에게 지식을 공유하는데 적극적이신 분• Deep learning 관련 논문을 읽고 이해하고 구현할 수 있는 능력을 갖추신 분• 머신러닝/딥러닝에 대한 지식과 사용해 본 경험이 있는 석사 이상 학위를 가지고 계신 분']
21,"['• Visual Studio 환경에서 C, C++, C# 개발 가능 하신분을 찾습니다.• Windows(또는 Linux) 상에서 C, C++ 프로그래밍이 가능한 분을 찾습니다.• 컴퓨터공학, 전기공학, 기계공학 또는 관련 분야의 학사 학위 이상 소지하신 분을 찾습니다.• 해당 분야 3년 이상의 업무 경험이 있는 분을 찾습니다.• 고객의 요구 사항을 정확히 이해하고 효과적으로 소통하실 수 있는 분을 찾습니다• 독립적으로 문제를 해결하고 창의적인 해결책을 제시할 수 있는 분을 찾습니다.• 팀 작업에 능숙하며 긍정적인 마인드를 가지신 분을 찾습니다.']","['• 기계 학습 및 딥 러닝 프로젝트 경험을 보유하신 분• 영상 처리나 관련 분야에서의 연구 및 개발 경험을 보유하신 분• 고객과의 기술적 커뮤니케이션이 가능하신 분• 석, 박사학위를 소지하신 분']"
22,"['• 컴퓨터 공학 관련 전공 학사 이상• 컴퓨터 비전 및 영상/동영상 도메인 머신 러닝 (딥러닝 포함) 연구 개발경력 5~10년 이상• Python 프로그래밍 언어에 능숙하신 분• Tensorflow, Pytorch, Caffe 중 한 개 이상의 딥러닝 개발 프레임워크 사용에 능숙하신 분']","['• 컴퓨터 비전, 머신 러닝, 딥러닝 연구를 주로 수행한 컴퓨터 공학 관련 전공 석사 이상• 컴퓨터 비전, 머신 러닝, 딥러닝 기반 의료 영상 도메인 데이터 연구개발 경험• 지능형 CCTV, 의료 영상 도메인 등 영상/동영상 및 비전 관련 연구개발 경험• 최신 영문 논문 분석 / 재현에 능숙하신 분• 영상 도메인 관련 탑티어 학회 (AAAI, CVPR, NIPS, ICCV, ECCV, MICCAI 등) 및 학술지 논문 게재 경험이 있는 분']"
23,"['• 관련 전공 박사학위 이상 소지 또는 관련 업계 경력 5년 이상• Python/C/C++ 개발 및 PyTorch, Tensorflow, MONAI 등 딥러닝 라이브러리 활용 개발 유경험자• 의료 영상 연구 유경험자']","['• 관련 학회 논문 작성 및 제출 경험자 (MICCAI, MIDL, CVPR, ICCV, ECCV, WACV, ICIP, ICPR 등)• 관련 학회 챌린지 상위 랭크 경험자• 과제 책임자 유경험자• 임상 데이터를 직접 다루고 모델/알고리즘 개발 적용 유경험자']"
24,"['• AI/ML 이론적 이해를 갖추신 분• AI 관련 박사 학위 또는 5년 이상 실무 경험 보유자• PyTorch/ Tensorflow 등 딥러닝 프레임워크 개발 역량이 탄탄하신 분• 문제 정의 및 논리적인 설명, 커뮤니케이션에 능하신 분• 최신 논문 정확하고 빠른 이해 가능하신 분• Scientific ML, AI for Simulation 등에 관심있으신 분']","['• AI 주요 학회 논문 게재 (NeurIPS, ICML, ICLR, AAAI 등).• Large-scale 모델/ 데이터 학습 경험.• MLOps 경험[제출서류]• 필수: 이력서(자유양식), CV• 선택: 포트폴리오(자유양식)[포트폴리오]• 형식: pdf, github 등 자유형식• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시______________________________________________________________________________________[프로세스]서류 전형 ＞ 1차 기술 인터뷰 및 라이브 코딩테스트 ＞ 2차 인터뷰 ＞ 최종합격** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다.']"
25,"['• Pytorch, Tensorflow 등으로 대표되는 ML Framework 중 1개 이상에 대한 사용 경험이 있으신 분• ML 관련 분야 석사학위 이상 또는 그에 준하는 경력을 가지신 분• 새로운 것을 두려워하지 않고, 지속적인 성장을 원하시는 분']","[""아래의 우대 사항은 담당 업무를 더 정확히 안내하기 위함입니다.아래 서술되는 모든 자질과 경험을 갖추실 필요는 없으며, 말 그대로 '우대 사항'입니다.• LLM을 활용한 프로젝트를 설계 또는 진행한 경험이 있으신 분• ML Framework 중 1개 이상에 대한 높은 숙련도가 있으신 분• ML을 활용한 서비스를 운영하고 배포해본 경험이 있으신 분• Docker, Kubernetes 등의 환경에 익숙하신 분[기타 사항]• 전형 절차: 서류 전형 - 면접 전형 - 최종 합격(포지션에 따라 과제 전형 혹은 추가 면접이 진행될 수 있습니다.)• 제출 서류: 자유 양식의 국문 또는 영문 이력서(PDF), Github Link(선택 사항)• 근무 형태: 정규직 (수습기간 3개월)• 근무 지역: 서울시 강남구 선릉로 428, 17층 (선릉 wework 3호점)""]"
26,"['• 유관 경력 5년차 이상 (박사 졸업 예정자 지원 가능)• 컴퓨터비젼, 로보틱스, 또는 기계학습과 관련된 전공의 석사/박사 학위 이상 혹은 동등한 경력• 컴퓨터비젼 및 기계학습에 대한 이론 및 실무 지식• 뛰어난 프로그래밍 기술(C/C++, Python 등)']","['• 자율주행 및 로보틱스 관련 연구 개발 경험• GPS, IMU, 카메라, LIDAR 와 같은 다양한 센서를 사용한 개발 경험• VR/AR 관련 어플리케이션 개발 경험• 병렬 프로그래밍 및 시스템 최적화 관련 개발 경험• 관련 분야 저서/학술활동 이력(CVPR, ICCV, ECCV, IJCV, TIP, TPAMI 등)']"
27,"['• 머신러닝 관련 개발/연구 경력이 5년 이상이거나 그에 준하는 역량을 보유하신 분• 팀 리딩이 가능하신 분• 아래 내용에 대한 지식, 논문 작성 경험 및 논문 구현 능력이 있는 분    - 컴퓨터비전    - 자연어처리    - 딥러닝 / 머신러닝• 본인이 구현한 코드, 업무의 진행 상황 및 결과 등을 정확하고 체계적으로 문서화할 수 있는 능력이 있는 분• 이공계(전공 무관) 학사 이상이신 분다양한 분야의 연구 경험 보유자로, 각 연구에 대한 본인의 Contribution, 연구 내용, 문제점 도출, 해결에 따른 결과물 등을 잘 표현해 주시면 더욱 좋습니다. 이 과정에서 어려움과 문제 해결을 하는 방식 및 지적 호기심을 보여주시면 더욱 좋으며, 팀 리딩이 가능하시면 가장 좋습니다.']","['• 아래 연구 분야에 대한 지식 및 경험이 있는 분    - Object Detection / Recognition / Segmentation    - Multi modality (Image, Text 등)    - Sequence labeling    - Text segmentation    - Multi modality(Image, Text 등) 기반 머신러닝 알고리즘• 아래 내용에 대한 경험이 있으신 분    - SW 개발 리딩 경험    - SaaS 서비스 또는 자체 프로덕트 개발 사이클 전반의 경험• AI / 머신러닝 관련 대회 참가 경험이 있는 분• AI / 머신러닝 관련 국제학술대회에 논문을 게재한 경험이 있는 분• 관련 분야 석사학위 이상을 소지하신 분']"
28,"['- Solid understanding of machine learning literature- Strong background in statistics, linear algebra and calculus- Strong CS fundamentals- Excellent problem solving skills']",['- Experience in computer vision- Experience in competitive programming- Experience in informatics/math olympiad- Published at top tier journals/conferences in computer vision or machine learning- New to autonomous driving space']
29,"['＜필요 업무 경험＞- 석사 졸업 이상, 인공지능 관련 전공, 관련 업무 경험 2년 이상- 상용 프로세스를 통해 모델 개발 및 최적화에 대한 경험- 대용량 학습용 데이터를 구축 및 정제하여 모델을 학습해 본 경험- 모델 상용화를 위한 Signal Processing 모듈 개발 경험- 논문에서 제시한 방법을 사용하여 모델을 개발하고 성능을 개선해 본 경험- 빅데이터 분석을 통해 문제를 해결하여 새로운 가치를 창출하거나 개선해본 경험- 대고객 서비스에 대한 서비스 설계 및 운영에 대한 경험＜필요 역량＞- 음성인식(Conformer, Emformer, CTC decoder, RNN-T) ,음성합성(VITS, YourTTS, WaveRNN, HiFiGAN), 화자인식(ECAPA-TDNN, Resnet 기반 Speaker Embedding) 등을 활용한 개발 경험 등을 통한 개발 경험- 필요한 데이터를 직접 정의하고, PyTorch, Tensorflow 등 주요 ML 프레임워크 활용이 능숙한 분, 최신 알고리즘 또는 해당 분야의 SOTA 모델을 자신이 정제한 데이터에 맞게 학습해 본 경험- Python, C/C++ 등 숙련된 개발 능력- Linear Algebra, Statistics, Machine Learning을 이해하고 활용해 보신 분- 데이터기반의 인사이트를 통해 도전하는 자세를 가지신 분- Quantization, Knowledge Distillation 등 경량화 기법 ML 모델 적용']","['- 박사 졸업 이상, 인공지능 관련 전공- 데이터 분석 유관 전공(통계, 산업공학, 빅데이터 등)- 관련 업무 경험 5년 이상- 빅데이터분석기사, ADP 등 데이터분석 관련 자격 보유']"
30,"['- Machine learning/Bio-signal processing 관련 전공관련 전공 석사학위 이상- Python/C++/MATLAB 중 하나 이상을 잘 다루는 숙련자- 최신 논문에 대해 이해하고 구현할 수 있는 능력- 데이터수집, 레이블링, 전처리, 모델 관리를 포함한 인공지능 모델 개발 프로세스 경험 보유자']","['- 관련분야 박사 학위를 보유하신 분- Deep learning기반의 small scale data 분석 모델 개발 경험- 관련 전공 분야 top-tier conference, journal 게재- 2개 이상의 프로젝트 리드 경험 보유하신 분- 임상 시험을 통한 연구 경험 보유하신 분- 생성형 AI 등 생산성 향상 툴 활용 가능하신 분']"
31,"['• 5년 이상의 Python 기반의 머신러닝·딥러닝 분야 연구·모델링 경력 혹은 그에 준함• Python 등의 프로그래밍 언어를 능숙히 활용 가능• 데이터 사이언스 관련 Framework(Tensorflow, Pytorch, Numpy, Pandas 등) 사용에 능숙• 모델링 분석에 필요한 기초 통계 지식을 보유• 머신러닝 이론, 확률과 통계에 대한 폭 넓은 지식을 보유• 알고리즘, 자료구조, 네트워크에 대한 이해']","['• 컴퓨터공학, 인공지능 관련 분야 학위가 있으신 분(석/박사 우대)• Git, Jira 등 사용 경험이 있으신 분• Fintech 분야에 흥미를 가지고 계신 분• Kubeflow 등을 이용한 MLOps 파이프라인 설계,구축, 운영 경험이 있으신 분• 최신의 인공지능 모델을 이해하고 연구, 개발, 개선할 수 있는 능력이 있으신 분• AWS, GCP와 같은 클라우드 플랫폼에서 머신러닝, 데이터 엔지니어링을 해 본 경험이 있으신 분• 최신의 딥러닝 기반 시계열 알고리즘에 대한 이해와 지식을 갖추신 분• 항상 최신 기술 트렌드에 관심을 갖고 비즈니스의 방향과 맞게 접목할 수 있는 능력을 갖추신 분• 글로벌 엔지니어들과 소통이 가능할 정도의 영어 실력을 갖추신 분']"
32,"['• 학력 : 학사이상• 경력 : 3~5년• 경력 3년 이상• 컴퓨터 공학 혹은 관련 학과 학사 이상[스킬]• Python, signal processing, deeplearning framework (tensorflow, pytorch)[보유역량]• 딥러닝 알고리즘 개발 및 서비스 적용 경험이 있으신 분• 신호처리 알고리즘 개발 경험이 있으신 분• python언어 사용 및 프로젝트 경험이 있으신 분[근무조건]• 근무형태 : 정규직(수습3개월)• 근무요일 : 월~금(9to6)• 급여 : 면접 후 결정• 근무지역 : 경기도 성남시 황새울로 246, 도담빌딩 B동 5층• 인근전철 : 수내역 300m 이내']",['• 시계열 데이터 분석경험이 있으신 분• 새로운 기술에 대한 거부감이 없는 분• 의료기기 개발 프로젝트 경험이 있으신 분• 협업 경험이 많고 의사소통이 원할 하신 분[전형절차]• 서류 ＞ 인성검사 ＞ 실무자 면접 ＞ 임원 면접 ＞ 최종 합격']
33,"['• SQL, Python, R 등 통계/분석 프로그램 활용 가능한 분• 다양한 데이터에서 Insight를 찾아내는 능력 갖추신 분• 딥러닝/머신러닝 등 모델링에 활용하는 언어 및 도구 하나 이상 활용 가능한 분• 딥러닝/머신러닝에 대한 기본 지식을 보유하여 AI개발 또는 관련 업무에 바로 참여 가능한 분• 데이터 분석, 파이프라인 및 데이터 기반 서비스 관련 업무 경험 보유하신 분• 원활하고 명확한 커뮤니케이션 및 매끄러운 문서 작성 능력이 있으신 분']","['• 머신러닝/데이터마이닝/통계/수학 등 관련 분야 박사 학위 또는 관련 업무 7년 이상 수행하신 분• 데이터를 가공하여 모델 개발/검증까지 도출할 수 있는 전체 분석 프로세스 경험이 있으신 분• 대용량, 실시간 데이터 처리 아키텍처 구축과 관련된 직간접적인 경험 보유자• 딥러닝 혹은 머신러닝을 활용한 분석 과제 수행 또는 공모전 입상 경력이 있으신 분• 음성인식, 음성합성, 신호처리, 언어처리, 인공지능 분야 업무 경험 우대• 초음파 및 각종 데이터 관련 전문 지식 보유자']"
34,"['• 딥러닝 모델 프레임워크(PyTorch, Tensorflow etc)를 이용한 프로젝트 경험자• 딥러닝 모델 경량화 및 최적화 연구 개발 경험자• 컴퓨터비전/머신러닝/딥러닝 지식 보유 및 관련 프로젝트 수행 경험자']","['• 영상처리 관련 프로젝트 수행 경험자 (Super resolution, Denoising, Deblurring 등)']"
35,['• 수학/화학/컴공/물리 (또는 신약개발관련학과) 박사학위 또는 석사학위 + 인공지능 관련업무 3년 이상 경력• 자격요건을 미충족할 경우 훌륭한 동기와 실력'],['• Top Tier 논문• 추천서• 신약개발 관련 경력']
36,"['• 전자공학, 전기공학, 컴퓨터공학 등 관련 전공• 영상처리, 컴퓨터비전, OCR 알고리즘 개발 경험• C/C++, Python 코딩 필수']","['• 영상처리, 컴퓨터 비전, 패턴인식, 딥러닝 관련 분야 개발 경험자 우대']"
